,Test_set,Actual Values,Predicted Values
2012,dick tracy originally comic book created chester gould plainclothes detective tracks crew villains ranging types visually original characters flattop blank big boy caprice villains became popular warner bros created take tracy style villains cartoons daffy duck tracys comics known liberal use gunplay date technology advances notably wristwatch communicator got fair share screen time excellent movie music done wonderfully danny elfman original songs madonna interesting high point career weird watch film see suspenseful moments film feels much like batman elfmans memorable sound pieces love tough talking kid pacinos acting big boy caprice chin madonnas take villainy cinematography directing impeccable film professionally made features tons great actors known great actors film made warren beatty pacino william forsythe dustin hoffman kathy bates mandy patinkin catherine ohara dick van dyke film directed beatty interesting almost like beatty saw tracy past life something really fit part give film everything brought cinema got overlooked whatever reason tons misunderstandings rating movie imdb still dont understand characters completely original vibrant style sets wardrobe lighting everything film buy today sorry,1,1
13994,mean word pedestrian seems producers film forgot anything interesting happen faith domergue better supposed mysterious vengeful cobra goddess torn love marshall thompson theres idea instead shes common would housewife fifties single flat expression wears throughout film makes think shot early morning faith coffee rest cast earnestly american result laughable ground productively covered val lewton cat people think cult cobra really titled cult contractual obligation else would many otherwise talented people sleepwalk way though slow moving predictable derivative failure like,0,0
17193,watched immediately seeing hillside cannibals anything would improvement top stops comparing zombi days later sequel unfortunately watched realised well made danny boyles original much movie influenced weeks later one cant help noticing much franchise dated type italian horror movie totally convinced zombi must made latest case would called summary years later geddit wasnt came page find released production values scream low budget splatter flick early part decade might enjoyed movie fifteen year old schoolboy would peers much problem involves lack internal continuity example zombies shuffle pace snail others run fast posses self awareness leads ridiculous end scene involving likewise killed kick face others remain alive even theyve head chopped wait till see fridge scene might die laughing even serious characters suffer type contrived sloppy scripting character suddenly reveals hes helicopter pilot leads ask army employing drive jeeps career obviously youre reminded earlier film crazies also reminded later films bunch terrorists break scientific base leading sorts disaster military bad guys trying kill infected survivors long ending youll worked basically everyone dies problem youll instantly reminded british franchise much better bigger budget franchise appeal thinking audience may little interest average horror movie zombi appeal one hardcore splatter audience,0,0
14194,simply terrible wouldnt use actual actors look stop stop using non actors want credibility message sent via low budget films please love god use real actors work free take advantage back comment anyway humour lower bathroom variety wasnt funny level quality one scene filmed public transportation bus could see reflection crew guess one guy looked like sony camcorder probably even well assume audience film people gore fetish wasnt even good gore,0,0
413,roll wonderful little film toby malone plays year old kid well acted way soccer malones cousin takes night big game adventure many twists turns involving two gym bags drug lord tough bikers cops prostitutes movie keeps guessing characters side law contents either gym bag even gender key biker parts reminded lock stock two smoking barrels roll reinforced three opinions already held seeing roll opinions really want visit australia one day country cities beautiful looks like cool place vacation best filmmakers australian cinematography roll especially impressive loved stylized colors lighting many scenes australian women hot,1,1
24023,around terrible comedy dull barely laughs wastes lavish production values one poignant moment near end manchu offers dose elixir nemesis tells youve one worthy adversary start scene however along burt kwouks amusing cameo beginning memorable parts movie,0,0
11685,face film women wanting see football match wouldnt appeal much somebody little interest football however isnt football discrimination womens enthusiasm sport love film opens day crucial world cup qualifying match iran bahrain girl trying get tehrans azadi stadium dressing like boy looks like get soldier tries search caught taken small enclosure high outside stadium handful women already caught guarded small group conscript soldiers whos leader would rather back home tending livestock never learn characters names get know people girls plead guards let watch though nearby gap wall refused try get least provide commentary well making important point rigid gender segregation much present day iran film contains many hilarious moments disguise one girls made wear going toilet girl disguised soldier caught chose watch match seat reserved senior officer girls enthusiasm game end viewer likely edge seat hoping iran win thus get finals germany soldiers arent shown fundamentalists conscripts explaining girls woman cant watch mens sports dont seem convinced arguments shame film cant seen iran good wider world see thus see ordinary iranians arent bunch fanatics desperate wage war west normal people passions concerns people everywhere cast great job making characters seem like real people rather mere caricatures,1,1
20587,wondering many conspiracy theories paranoid ideas israel international affairs come look isnt supernatural hollywood film loosely based biblical passage instead movie made company cloud ten political religious agenda movie end result times looks like clips televangelism program complete family prayers light breaking church windows harps playing mainstream viewers may hard believe many people believe stuff literally presented movie perhaps makes movie important probably wont find concise exposition bizarre views significant number fellow citizens view view social cultural document media savvy dont need warned unsubtle attempts propaganda manipulation movie,0,0
2225,despite reading initial comments someone curiously disliked film negative comment first list nice note virtually everyone else loved obviously church wanted stress certain points portray prophet joseph smith positive manner thats whole idea fact points extremely effective already know joseph smith human despite horrific negative attempts stirred adversary showed able complete remarkable god given work recommend anyone,1,1
6115,really enjoyed movie script fresh unpredictable acting outstanding earth movie characters one cares brought tears eyes times left great feeling afterwards,1,1
14745,waste time danger watch tempted tear dvd wall heave thru window amateur production terrible repetitive vacuous dialog paper thin plot line wooden performances lucy lawless pathetically hackneyed seriously flawed story completely unbelievable characters two worst concepts film evil twin amnesia twins plot twist outrageously simplistic obvious like watching train coming track middle day prairies doesnt even resolve properly evil punished original crime please please please dont watch even free choice synagogue,0,0
24153,heavenly days commits serious comedy faux pas desperate teach civics lesson wont stop weve passed final exam fibber mcgee molly take trip washington see senate action inaction prefer spat senator eugene palette one worst roles career get acquainted gaggle annoying stereoty refugee children meet man train reading book henry wallace henry wallace year later considered near communist dupe add truly awful musical moments whole lot flagwaving hooey boring subplot newspaper reporters youve got film must philip wylie ready pen generation vipers boogaloo drastically unfun heavenly days another reminder devil best tunes,0,0
20771,badly made dreadful acting ending director appeared contrive nowhere film frankly nothing short dull shocking film considered award gij film festival everyone came theatre opinion point even making film references iraq either bizarre thought properly astonished film given release disappointing waste time sorry terribly negative review hopefully deter people making mistake pity end film could interesting,0,0
2348,usually steer clear movies many ways know movies five seconds one got attention unusual title gloomy well crafted mood established start ever present rain confirmed sus misplaced story even claiming set california movie largely shot around stormy vancouver dark oppressive outdoors beautifully complement olmos excellent acting,1,0
94,saw movie today children son daughter annual roger ebert overlooked film festival film children audience allowed ask questions director tian ming translator told several stories life making film tangents aside children really enjoyed movie course paraphrase many subtitles daughter much film visually self explanatory wont give anything away bottom line film much better hollywood crap especially childrens films cheers real original king masks could masks actor movie trained learned masks time would cut change new masks,1,0
7727,wonderful early musical film rene clair fun witty silent italian straw hat using sound expressive way dialogue effects clair influenced early musicals america opera scene night opera strongly influenced million example wont seen cinephiles dvd criterion exactly good youd expect theres ton extras dvd extras ive seen useless fluff clair interview disc one hadnt ever seen get still around,1,1
11913,lucky enough see pre screening last night oct incredibly surprised wonderful plot genuinely heart felt acting plot particularly complicated exceptionally new story unfolds way feels fresh unique distinctly indy style isnt something easily compared films past unique take sort classic middle aged depressed love story particularly struck casting film every last extra family beautiful talented cast three daughters wonderful job talent evenly dispersed none shone two truly delightful film appropriate ages laugh loud funny also truly touching heart warming wonderful break sex jokes nudity recent films,1,1
10739,one important artistic movements history cinema without doubt german expressionism highly atmospheric style film making developed berlin classic movies like das cabinet des caligari nosferatu eine symphonie des grauens famous direct results movement movement didnt long life enormous influence cinema still felt today specially horror genre one key figures style would director paul wegener director der golem wie die welt kam debut filmmaker seven years making classic already making experiments expressionism film early prototype german expressionism incidentally another horror film der student von prag der student von prag student prague story balduin paul wegener student reputation best fencer prague always find financial troubles one day balduin rescues beautiful countess margit grete berger drowning lake horse drop accident balduin falls immediately love tries see soon discovers hell compete rich cousin graf von schwarzenberg lothar rner also wants marry knowing cant offer much balduin wishes wealthy sorcerer named scapinelli john gottowt enters scene scapinelli offers balduin infinite wealth exchange whatever finds room balduin accepts proposal discover horror scapinelli wants reflection mirror loosely inspired edgar allan poes short story william wilson classic legend faust story der student von prag conceived german writer hanns heinz ewers master horror literature one first writers consider scriptwriting valid form literature written time cinema germany still developed art form der student von prag shows real willingness actually use cinema tell fully developed story beyond camera trick series scenes like scriptwriters time ewers screenplay still influenced theater although der student von prag begins move away style bit poor character development specially supporting characters ewers manages create interesting complex protagonist person balduin der student von prag paul wegeners directorial debut stellan ryes second film filmmaker clear two pioneers good idea cinema could done properly giving great use guido seebers cinematography two young filmmakers create powerful gothic atmosphere forecasts german filmmakers following decade would wegener would learn many techniques would employ golem series seeber rye despite limited resources rye wegener manage create amazing convincing time visual effect scenes balduins reflection played wegener already experienced stage actor time making film wegener directs cast great talent also attempts move away stagy style previous filmmakers balduin paul wegener effective probably best movie certainly helps character one fully developed writer one cant deny wegener good role poor student loses mirror reflection contract john gottowt plays sinister scapinelli mysterious aura suits character like glove said scapinelli film gottowt makes sure let know force feared rest main cast less lucky grete berger pretty much average countess margit lothar rner making poor graf von schwarzenberg however must said lyda salmonova pretty good expressive character fritz weidemann made excellent baron waldis schwarzenberg showing dignity rners character considering movies done years countries fact remake made years film superior every possible way difficult understand der student von prag hasnt stood test time well early films movies main problem definitely extremely low budget resulted film considerably shorter ewers story needed fully developed makes plot feel bit vague times even incomplete something missing narrative course theres also possibility existing print really incomplete however der student von prag interesting early attempt complex tale horror suspense film inferior filmmakers time left powerful impression history direct predecessor german expressionist movement hard deny enormous importance der student von prag history german cinema probably history cinema general may look dated even time considering limited resources director truly better films era movie started paul wegeners career german expressionism der student von prag must see everyone interested slice film history,1,1
6809,movie outstanding brilliance poignant unusual love story luzhin defence charts intense attraction eccentric genius woman beauty depth character gives john turturro probably finest role date thank goodness didnt give ralph fiennes would murdered similarly emily watson shows wealth experience outstanding background stage reach tortured chess master turturro character display intelligence well womans love watson portray beauty pageant sexuality brings parts self awareness alluring chance meeting natalia watson luzhin casually stops losing chess piece fallen hole clothing specially crafted piece realize later film come symbolize hopes aspirations later love affair develops subtly likens dancing chess luzhin learnt dance never partner encourages lead bold brilliant moves enables relax sufficiently later play best also realize lover story woman inspires man greatest achievement finds deepest fulfillment emotionally intellectually led believe certainly within time frame natalia something liberated woman rather someone grooms stereoty wife mother italian sets stunning complexity characters skill dialogue unfolds delight intelligent movie goer yet film accessible enough make popular mainstream hit deservedly chess merely photogenic backdrop developing emotional emotive movie although game treated enough respect almost convince chess player characters existed although tragedy remarkable heights classic author final denouement nevertheless surprisingly uplifting,1,1
19076,could best express feelings movie hideous headache lack coherent writing plain stupidity try travesty direction story well guess story two dumb blondes look job crash plane golf course mistaken world renounced assassin sarcasm hired two mobsters one thinks taking means date gets minor actor dreams course turtle reserve farting turtle build casino winnings sounds likes could funny guess try make funny filming sequences arent well done ive seen better filming hong kong movies visuals average late film problem movie worth time ever watch still doesnt beat danny glovers movie early worst movie time film class,0,0
17860,pia zadora woman owes entire career husband proves cant act disaster film butchers harold robbins novel ray liotta must hogtied carried set appear one avoid costs doubt even mst thing would save,0,0
9367,eyeliner worn nearly years ago egypt really much stretch around century also didnt realize series flopped second season airing isnt amazing commentaries made either ill informed dont watch show waste space boards others time first show series maybe bit painful cast began fall place expected show remainder first season excellent hardly wait second season begin united states,1,1
20076,book basic instinct perfect film outstanding acting parts stone douglas supporting actors tiniest role marvelous photography music noirest noir script ever adding film good ever get sequel exact opposite possibly get worse bad acting lame script combined totally inept direction really bad boring annoying thing somewhat keeps concentrated relatively short wait next scene exact enacted copy original copies bad make laugh laughed lot spite like watching demolishing shining monument thing good horrible mess excerpts jerry goldsmith score michael caton jones half wit responsible script even included smoking room dialog interrogation scene yes sends attorney solicitor away sorry seen awful film never made damage original bad redeeming value realization cosmetic surgery sure stone afforded best surgeon money buy good job obviously restore perfection original concerns human body applies film making law dont ever make sequel perfect film,0,0
8307,definitely one lesser astaire rogers musicals poorly plotted paced runs minutes longer swing time example feels heck lot longer partly due secondary romance randolph scott harriet hilliard scott rarely ever interesting like hilliard shes sweet love least one songs get thee behind satan number weak leftover top hat thankfully cut masterpiece follow fleet would actually bad film least three brilliant dance sequences astaire rogers dancing contest vies top spot numbers dance fantastic putting eggs one basket presents two rehearsing dance dont quite perfected yet imperfections make perfect lets face music dance easily one irving berlins best songs film well worth watching great moments,1,1
900,nicely done movie stay memory better billed romance flying war altho flying parts realistic almost error free flying buffs like enjoy movie even attracted airplanes unless sensitivity never love fun watching early crowe good exudes charm reading high flight superb cheers boom,1,1
2607,wonderful movie brothel fishing village could best described scene constellations direction old kurosawas works combined dostoyevskis topics human psychology shin sonia marmeladova shakespeares drama hans christian andersens tragic cheerfulness screenplay wondrous scenes colour beautiful scenes stay really imprinted mind plot interesting unpredictable characters well developed interesting also little action dont like sentiments youd also come costs mysterious geishas proud samurai bushido pouring life work kinds people found everywhere time lovely fascinating tribute kurosawa certainly worth seeing,1,1
21519,movie steeped religion impossible separate religion commenting upon opinion movie pretends explore deep issues thrives stereotypes prejudices little true insight people movie therefore writer failed see grace failed understand god author beauty creator passion sexual gratification proper context marriage bonds imply people society story based believe nudity sinful man woman enjoying act marriage dirty oversimplification stereotypes really dont exist even jewish holy writings speak clearly caring husband seek wifes pleasure scripture says man ought love wife flesh man ever hated flesh nourishes cherishes even want ignore new testament writers characters completely ignore passages song solomon old testament even book proverbs says rejoice wife thy youth let breasts satisfy always read way way god knows approves smiles marital union enjoyment thereof real men dont ignore value needs wives deny basic teaching judeo christian religion god never said things absurd sonia rebelled misapplication teachings true god abraham didnt need sad sonia desperately needed truth tradition knowing loving obeying god love others faith god abraham isaac jacob joseph delivered saints bought paid jesus christ righteous alright ignore abandon ancient holy scripture turn wisdom homeless people ghosts thats good plan would never recommend movie partly sexual content unnecessarily graphic also really doesnt offer valuable insight check yentl want see much useful treatment jewish tradition odds society,0,0
2987,city hall somewhat mixed bag part vignettes nyc political life part moralizing tale pacino dukakis esque boss presidential dreams gives oft times sullen subdued performance theres couple times chews scenery case city hall shines john cusack gives subdued generally flawless performance without going caricature new orleans dialect sliding melodrama films climax danny aiello burrough political chief also good love showtunes major problem city hall good movie many ways general feeling lack momentum comes like documentary motion see action follow story detached perspective naturally viewer doesnt become involved viewer doesnt get involved certain degree become apathetic towards characters eventually plot tends alienate riveting detail divulging finale came hmmm okay say cant fight city hall tread worn cliche goes yet still cant stop thinking might tightened screenplay pacing movie,1,1
21526,kind drawn erotic scenes realize one amateurish unbelievable bits film ive ever seen sort like high school film project rosanna arquette thinking stock characters bizarre supposed midwest town pretty hard get involved one lessons learned brilliant insights stilted quite ridiculous lots skin intrigues videotaped nonsense bisexual relationship nowhere heterosexual encounters absurd dance everybody playing stereotyped roles give one pass like million miles bad wasted film money could spent starving children aids africa,0,0
17446,joe baker alright good actor small roles alright goldeneye made pretty good bond villan living daylights appeared various movies one thing cant carry movie lead extremely bad revenge movie set malta joe dons partner killed kills killers brother escorts killer italy guys cause plane set malta killer gets away rest movie seeing joe chase killer joe getting taken custody various times joe torturing bartendar interrupted movie quite bad wont find exactly pulling joe dons character amazed many times joe hero gets taken one punch incompetent proves crowning part movie comes joe chases killer malta killer priest robe get boats chases around malta movie also features one worst closing lines end movie ever,0,0
20260,first low budget movie expectations incredibly low going assume people looking info movie wanted bloodfest essentially thats plot really none basically saw china whole hell lot worse cast none period special effects absolutely awful opinion cutaways blood often completely unbelievable amounts splatter color texture etc believe purpose movie supposed brutal shock film great potential bigger budget poor scripting poor dialogue awful acting seemed like camcorder video shots plain unbelievable gore made movie truly awful movies worth taking chance reviews even rate movies deserve opportunities blood trails example recent saw reviews worth simply awful hope people considering movie read comment decide brutality shock overall unrealism truly awful acting makes awful experience save time money chance something else wont disappointed,0,0
16165,least able enjoy mocking movie surprising since barely able sit honesty guess cover dvd case cost entire movie saying director boogeyman new version came nice touch guys misleading enough rope thing frustrated insufferable acting copycat haircut usually see kind hair ten year old boy character acted like film looks like shot grad student film school excited use every film technique ever learned attending classes sometimes less buddy would get lost random plot twists led nowhere unexplained makes bad movie ending doesnt even come close pulling together well makes exceptionally bad movie without doubt worst movie ever seen includes friends french final video senior year high school hey maybe bit biased mean get play extra dont even think deserves star even half none,0,0
20581,reminds born believer going minister never actually thought would minister even graduate high school almost positive would raptured heaven would ever happen discovered christianity bunch rubbish atheist proves saved always saved doctorine christians tell real elves true leave many years devout born believer yes really saved prayed silly sinners prayer heart christians read bible would discover god thinks like rape genocide abortion many atrocities alright according might surprised learn word rapture mentioned,0,0
1407,robert wuhl teaching class film students new york university manhattan new york covers fallacies history truths longer generally known would like see much show entertaining wuhl uses examples show tell get points across explained person actually rode midnight ride paul revere paul revere henry wadsworth longfellow used reveres name sounded better ive watched robert wuhl many years time stand comedy way arli hbo hes good actor good stand comedian hes excellent teacher highly recommend watch episode show well worth time,1,1
5047,ever asked remember song film yester years would chalo daar chalo chand paar chalo meaning way sung lata mangeshkar mohd rafi lyrics kaif bhopali mention cinema photography sailing boat goes black background shining stars would chalte chalte pakeezah meena kumaris last film died amount time took seen screen songs looks young one actor didnt change looks late raj kumar falls love especially feet accidentally goes train cabin upon seeing leaves note describing beautiful conclusion pakeezah beautiful romantic story possible viewed large screen sake cinema photography songs movie stars meena kumari raj kumar ashok kumar directed kamal amrohi kamal amrohis grandson started revive grand fathers studio making comedy movie,1,0
20566,horror movie alright first lets start kate main goals include getting laid george clooney looking good last least screwing everyone got love amazingly good chances finish sicko instead ran mean didnt wan bring guy minutes late mean guy tried rape cant get movies main character sad idiot mean honestly would sympathy guy finishes everyone meet night movie kept going result lost credibility,0,0
18197,rebar astronaut goes worlds first space mission saturn course horror movie things turn ugly returns earth survivor stricken bizarre condition causes slowly melt lose mind unless regularly consumes human flesh kills apparently nurse hospital escapes neighboring town stalk victims liked premise monster gore effects actually pretty good space scenes pasted together stock nasa footage hospital looks curiously like warehouse weak script little character development overall poor acting keep one rising anything mediocre slasher flick novelty living candle killer less gore effects hold interest strictly die hard monster movie fans,0,0
3340,key year old virgin merely andy stitzer year old virgin rather manner steve carell presents one genre crass comedy become typified lack humor engaging characters year old virgin offers colorful cast intelligent heartfelt script doesnt use protagonist butt end cruel jokes andy still virgin forty years old much joke fact curiosity carell veteran team ferrell anchorman daily show castmember uses concept film expand character get understand andy way little things make film work andys worker electronics store asks weekend andy describes failed efforts cooking andy rides bike work signals turns doesnt adorn home action figures paints talks reveals really old ones belonged since childhood lesser comedy wouldnt even begin focus things plot fairly simplistic andys worker pals find hes never sex make personal quest get bed woman childish idea film makes attempt conceal juvenility andys friends complement neurotic nature david paul rudd broken girlfriend two years ago still obsessed jay romany malco womanizing ladies man cal seth rogen tattooed sexaholic attempts getting andy sack backfire numerous times time leaves andy feeling less less optimistic finally andy meets single mom trish played catherine keener much chagrin worrying buddies claim mothers arent worth falls love begin relationship agree put sex twenty days trish unaware andy still virgin year old virgin directed judd apatow man produced anchorman cable guy began short lived cult show freaks geeks apatow renowned unique sense humor script written carell offers plenty however end interesting indeed surprising aspect year old virgin maturity probably well aware film received glowing reviews critics even surprised warm reception seeing film easy understand like andy care hes cardboard cutout sex comedy clich hes real living breathing person neurotic traits combine best woody allen childish naivety friends unlikable jerks romance tumultuous bittersweet strikes chord audience although far perfect movie definitely contains rather crude innuendo sexual humor doesnt offend extent genre entries might affection people screen best sex comedies work way risky business american pie major difference something like year old virgin days nights,1,1
2812,film good difficult find films hero writer director simon geist man agenda creates fake magazine authority interview swine los angeles actors models musicians believe defecation doesnt smell clever dialog zucovic succeeds sure budget film probably paid used car film solid well written works well person reenact edward munks scream reflection silver trashbin local coffee house nominated type award give film chance listen says making car since called car bravo zucovic bravo,1,1
13035,one worst films ever seen define worst would prefer eye balls yanked forced tap dance ever view pitiful dreck somehow one hit wonder zwick manages film simultaneously offends elvis fans mary kay saleswomen las vegas gays fbi agents rest humanity intelligence shoddy sloppy farce forced deserves forsaken elvis presley enterprises could allow rights actual elvis songs used film central premise seems good elvis presley imitator dead one beyond worst part mess takes work mangled script elvis words songs would speak perform quoted worst special effect oscar would moron decided elvis grave potentially photographed recognizable grave world resembles pyramid gold record glued atop situated middle park somewhere potentially films biggest audience would elvis fans however rampant stupidity nixon gave elvis dea badge fbi credentials could actually undercuts conventional wisdom ugh used word wisdom describe stupid movie truly horrible horrible film,0,0
705,appreciated photography textures colours often unlike one comment lighting lacking coherent storyline found often disjointed badly edited times difficult follow version minutes imdb shows one possibly cuts subtitles didnt help applaud films escape hollywood mould left disappointed miss gillain luminous performances fine wanted little dialogue anyone would like see another film affinity one try hideous kinkywith kate winslet,1,0
5030,wonderfully written well acted psychological drama really horror flick looking something like ring grudge disappointed really surprised film intelligence subtle attention detail plot effort made internally consistent also appreciated absence phil psychobabble new age revisionism rather advancing agenda filmmakers told story told well let viewer think sparse dreamscapes reminiscent wyeth paintings amazingly effective great example make good film small budget without big studios star actors big name directors far better many hitchcocks films special effects clever plot twists,1,1
21346,guess give points sheer courage writing musical around history lesson decent music cartoonish acting howard desilva meant pique interest otherwise jaded children william daniels campy contemporary time acting style meant appeal demographic need jokes hear blue haired broadway audience guffawing cue sorry find whole piece dated boring acting far strident screen,0,0
7664,watching series dvd yay striking fresh relevant intriguing first aired central performances gripping scripts layered ill stick neck put prisoner show thatll winning new fans still watched come ive asked write line seems imdb user unfriendly anally retentively coded ever pithy point clearly imdb way well unlike imdbs submissions editors american gothic understands simplicity everything episodes show covers character development many shows seven seasons top questions personal ethics strength character way challenges viewer every turn ask would choose would think given situation show first aired still grieving twin peaks thought would cheap knock personally starting rate highly suspect stand better years reckon dont get controversial,1,1
7398,love movie animation great pok mon movie cgi looks awesome love music movie great kept japanese music story great great feeling friendship celebi cute powerful pok mon ash really great movie like friendship sam thing didnt like suicunes appearance suddenly pops helps ash bit leaves could made part movie little bigger overall awesome movie cant wait usa version dvd,1,1
4150,hard say anything movie like isnt enough words give magnificent stylish unique film veneration unquestionably deserves make official true real hamlet movie previous films immortal spectacle overshadowed kenneth branaghs hamlet perfect complete version play potent massive earthshaking first class masterpiece shakespeare would proud theyve packed dozen world famous top actors film everyone one greatest performances career every moving charming sequence leaves behind comprehensive sense satisfaction cameras embrace gracefully enchanting coulisses branagh phenomenal leading role sharp irresistible performance one kind permanently part glorious movie history every second presentation feast movie lover beginning end branaghs version hamlet among ten best motion ever,1,1
14558,lets face romantic comedies considered lightweight compared dramatic movies look academy award nominations year still good ones truly art form look harry met sally sleepless seattle classics like roman holiday happened one night like good feeling seeing two people destined find happiness movie attempts construct something resembles romantic comedy one believes romance main characters nothing funny make major shortcoming modine way past leading man especially romantic lead sure executive producer means good sense cast gershon see possibilities comedic talent script poorly developed character whose idea english accent pointless others stated want repeat story poorly conceived poorly executed actors terribly miscast characters well dont give hoot art form aint rent moonstruck,0,0
18781,whatever merits film poorly researched others pointed movie shows locals iran speaking arabic rather persian enough lose credibility anyone slightest knowledge area country landscape could different actual factual errors train shown operating afghanistan afghanistan railways turkish ambassador wearing fez red hat whereas fez banned turkey much time movie set turkish ambassadors daughter actually dressed indian indian classical music playing background many scenes suppose filmmakers meant show exotic woman sari decided would make exotic,0,0
9020,ghost story movie pilot nbc series movie well written well acted thought season started series half good movie nbc winner wish film available video series colossal disappointment even william castle exec producer however chance see original movie ghost story check wont disappointed,1,1
14988,weekend two days ago watched first half war games dead code trying come decision one worse terms pain mind watching guess worse said comments unrealistic illogical etc thing really add point started feeling evil guys woman would recommended darwin award actually died watched first half dont know soon two darwin awards thats even possible immense stupidity hey produced kim basinger know script also responsible bringing waste money people consider humans waste considerable amounts money evil money could used feed clothe quite people instead hurting percent saw cinema giving percent idiots good opportunity show much idiot,0,0
6914,delightful presentation hemo blood greek god well played animation vanity arrogance snobbish superiority innocent wonder quote scene recall vividly hemo tires plumbing havent learned secrets threatens storm scientist answers single word thalassa salt water horrifies fiction writer mollifies hemo segues neatly chemical aspects blood splendid blend entertainment information make classic fresh engrossing today day released stimulating interest imagination fundamental teaching kids love learning,1,1
21432,ohhh brutality ohhhhh dying breed ohhhh sense loss ohhhh prejudice jeez whiney revisionists going stop analyzing westerns crying loud happens offends socially engineered sensibilities back comfort meryl steep collection boring tedious tiresome waste celluloid particularly light coburn hackman bergens presence nothing interesting intriguing unless obsessed century desert dentisty may little better without constant diversion place mexican guy bad tooth monument stupid ultra left creeping sensitivity virtually impossible sit entire film think rather eyes stapled open entire lucky luke trinity series horses deadern hell,0,0
22114,worst movie ive ever seen thats much said starts good atmosphere hospital suitably sterile alienating mood set eerie nothing well somethings somethings clearly dont fit effort made clarify connection bizarre yet particularly intimidating critters hospital theyve taken mean come biker duds band watched bit much gwar personal favorite head demon looks rather lot like middle aged trucker desperately attempting menace simultaneously looking like hed really like prefer sag afghan covered couch undo belt pop cheap beer probably schlitz watch game honestly ive seen far scarier truckers truckstops drinking coffee wwwwoooooohhhhhhoooooooo scary monsters even cartoonish even less scary least dvd videos give explanation presence hospital apparently randomly pop places play bippy metal cause people dead bit barring good special effects acting entirely terrible given lack decent writing theres nothing background noise movie,0,0
20421,film starts slowly got cinema thought looked quite good mins bored minds wondering kind film come see dont like film wouldnt recommend anyone best part night alarm lights came back project broke thought could home one worst films ever seen bored minds people cinema actually ran doors end rubbish surprised one walked earlier see make sure something keep busy better still dont see,0,0
9247,one greatest film seen year last maybe sun rise also seen late night alone lab like idea film suggest free man weakness fate time past james kathryn destined fail indescribable sorrow comes like end big question also comes virus shall released last scene airport jose sent back meet james future scientists tell scientists already got message know someone else would spread virus two together meet kathryn kathryn tell james true man goines assistant clearly jose also get true information virus james keep eye time remember teeth everything still happen future scientists dont anything truth revealed biggest question film,1,1
11329,kind film made today would probably star sandra bullock hugh grant actually think one quite liable remade one day pleasant depth whatsoever suffers almost fatal miscasting james stewart role years old result chemistry beautiful kim novak ernie kovacs small supporting role aspiring writer actor film whose performance approaches might call wit,1,1
10734,early version tale student prague made germany starring paul wegener also golem years later film plays dual role technically impressive year old film see shot meeting mysterious old man makes pact gold gold needs woo countess hes previously saved drowning moving fast pace film runs hour fairly well written characterised student prague echoes faust legend well jekyll hyde starting pact mysterious figure potential evil developing good evil sides person,1,1
23555,really hope concorde new horizons wasnt trying make serious horror even action movie made carnosaur movie flat silly start finish even humor funny bad definitely high water mark bad good genre enjoy worst worst,0,0
22639,makers film created future abortion birth control illegal every state women prosecuted murder sent away serve long prison sentences words film every liberals worst nightmare political agenda heavy handed style film low key loses steam pretty quickly regardless side fence youre recommend skipping,0,0
2546,love movie jouvet arletty blier carn almost everything already said movie one detail like shed light onto footage real still standing tel nord still heard demolished used movie whole scene rebuilt set main reason could stop traffic martin canal several weeks,1,1
17069,glad watch movie free charge working hotel industry movie came lately movie library nothing low budget movies movie horrible acting directing movie one ever made director blacklisted poor actors sure jumping board career please make sure youll watch movie acting lame camera directing awful movies deserve called low another example would dracula people make money movie give charity least serves good reason case would watch even another least one time,0,0
23621,film concerns purportedly non establishment types aesthetically sexually apparently resist basic romantic needs although excellent players take part including jon tenney timothy olyphant cynthia nixon grounded puerile script relies nearly totally upon clever dialogue isnt nixons role possesses best lines often homes quickly timing flaw must saddled upon director grotesque climax utilizes every available cliche spent fittingly ends drab attempt comedy,0,1
11172,chose see film day opened nationally france personal way reflect happened year previous collection works intended provokes whirlwind thoughts emotions working intellectual hommage never stooping cheap sentimentality knee jerk reactionism many allegations made film anti american speak everyone regard one american found statements completely untrue people make much noise egyptian segment chahine voices perspectives palestinian suicide bombers asserting civilians democracy fair targets elect governments bombers seeking attack ignores much else piece several perspectives discussed one held truth critics even saw piece seem forget fondness warm dialogue takes place director ghost american dialogue directors intense sadness upon hearing tragedy pretty much films beautiful thoughtful inspiring particular brilliant work mahkmalbaf tanovic loach inarritu nair good usual effectively tells true story injustice committed muslim family wake anti islam hysteria swept still sweeps states find gitais piece bit vulgarly loud simple critic media hysteria face terrorism penns piece impressionistic elliptical tastes though expected like borgnine good brave spoiler warning one reviewer incorrectly read falling towers happy moment character read rather falling towers light floods room keys loss life refused recognize sort impressionistic piece know towers really blocking light mans flat would nothing smoke ash light flooding window,1,1
